config_id,true_a,post_mean_a,post_median_a,post_std_a,hdi_lo_a,hdi_hi_a,coverage_a,true_z,post_mean_z,post_median_z,post_std_z,hdi_lo_z,hdi_hi_z,coverage_z,true_v,post_mean_v,post_median_v,post_std_v,hdi_lo_v,hdi_hi_v,coverage_v,true_t,post_mean_t,post_median_t,post_std_t,hdi_lo_t,hdi_hi_t,coverage_t,true_sv,post_mean_sv,post_median_sv,post_std_sv,hdi_lo_sv,hdi_hi_sv,coverage_sv,true_sa,post_mean_sa,post_median_sa,post_std_sa,hdi_lo_sa,hdi_hi_sa,coverage_sa,true_st,post_mean_st,post_median_st,post_std_st,hdi_lo_st,hdi_hi_st,coverage_st,rhat_a,rhat_z,rhat_v,rhat_t,rhat_sv,rhat_sa,rhat_st,n_divergences,n_trials,mean_rt,accuracy,elapsed_seconds
20,0.8926529122538804,0.9190711,0.9169599,0.042781536,0.8348639011383057,1.0054854154586792,1,0.5957062198298135,0.5668986,0.5671119,0.028800614,0.5080726146697998,0.6218416690826416,1,-2.9539174634595664,-2.813164,-2.783611,0.29255363,-3.42012357711792,-2.2950141429901123,1,0.42222957847308307,0.41434893,0.41395676,0.008567153,0.39798519015312195,0.4319973886013031,1,0.536503575100684,0.6172196,0.5786097,0.39690298,0.0018939103465527296,1.3227367401123047,1,0.166992394794005,0.24984995,0.22281437,0.16015458,0.0033727679401636124,0.5552030801773071,1,0.13423099384765186,0.11955696,0.119732544,0.015187931,0.08950138092041016,0.14781534671783447,1,1.0020607749215034,1.0022599462395025,1.0011340419257129,1.0025615009618105,1.002739067026179,1.0004219059325385,1.0018763503872676,0,500,0.5663631905618599,0.116,1229.3007640838623
22,2.103718136331952,1.9956585,1.9871718,0.10313586,1.79294753074646,2.188551425933838,1,0.5846831412056557,0.57183886,0.5707021,0.03015795,0.5148957967758179,0.6321534514427185,1,-1.9081783037082918,-1.8273457,-1.8036766,0.20963882,-2.2415754795074463,-1.4387515783309937,1,0.4037107373206327,0.41765198,0.416575,0.021608807,0.37682709097862244,0.4604562520980835,1,0.6517551110802503,0.58768517,0.5838028,0.21169518,0.1580144762992859,1.0316649675369263,1,0.6623888401393166,0.6480144,0.5989928,0.38595393,0.021852577105164528,1.3653967380523682,1,0.04004786622230116,0.070516676,0.060736805,0.05084947,3.6201367038302124e-05,0.16697187721729279,1,1.001827340077439,1.0032686283167638,1.0031238584624536,1.0012095436631077,1.0023313624959098,1.0015925699600126,1.0021491891982348,0,500,1.009149606832106,0.072,1010.4080331325531
24,0.7074452328638972,1.4182979,0.6921406,1.2705224,0.650892436504364,3.619779109954834,1,0.4176188185614595,0.48728937,0.43913093,0.097517505,0.40570440888404846,0.6543513536453247,1,0.861931045358773,0.7977339,0.74911726,0.1753242,0.4880729615688324,1.1819313764572144,1,0.2629005906180189,0.25316137,0.25901884,0.012729184,0.2315172553062439,0.2649019956588745,1,2.5408297540931803,1.785008,1.1014848,1.6444002,0.0932236909866333,4.480597496032715,1,0.12544513897952633,0.5668963,0.1862067,0.7170017,0.029516024515032768,1.8015910387039185,1,0.03612342058286108,0.059367623,0.034329623,0.049293816,0.01992737501859665,0.14402224123477936,1,1.5722389486955322,1.5304596303906604,1.0901556225479638,1.5494478529172178,1.5946295232914236,1.5610414442580998,1.5911703451988137,0,500,0.3711138400109194,0.564,5308.398104190826
26,0.7404043201407209,0.71239895,0.7021124,0.050200917,0.6331281661987305,0.8184211254119873,1,0.6512879187661826,0.66896355,0.67008424,0.02818496,0.6118448972702026,0.722538411617279,1,-0.06850216096172179,-0.43620467,-0.45101303,0.3124122,-1.0100833177566528,0.21434377133846283,1,0.4976385476898688,0.49724063,0.49901322,0.005601026,0.4837051331996918,0.5044898986816406,1,2.6950368712938313,1.6168096,1.4668556,1.1078169,0.0014253654517233372,3.6536481380462646,1,0.5645283721455293,0.31950447,0.3283691,0.13689236,0.04173687845468521,0.5488628149032593,0,0.14395385291917767,0.14293829,0.1441715,0.00830773,0.12422913312911987,0.15797075629234314,1,1.0019435012939764,1.002805845702089,1.002776064489096,1.0034623937745635,1.0029997364686682,1.0033461776156054,1.003151658188985,0,500,0.6040557521108331,0.586,566.5495808124542
28,2.2339957807665987,2.136531,2.1245687,0.13751794,1.8795863389968872,2.4052114486694336,1,0.6401945286001116,0.5685129,0.5674782,0.040230233,0.49067234992980957,0.6488748788833618,1,-2.6365200738707992,-2.238287,-2.1996918,0.26024988,-2.7765579223632812,-1.8119863271713257,1,0.30683134990577454,0.3324602,0.3322912,0.027953416,0.27761727571487427,0.3871542811393738,1,0.746857264914435,0.41998047,0.41663152,0.23904568,0.0002355226461077109,0.8209512233734131,1,1.4035856223258774,0.7970525,0.76350904,0.4655101,0.013119691051542759,1.6161153316497803,1,0.08202963631432009,0.073619634,0.06622883,0.05149639,9.025453618960455e-05,0.167502298951149,1,1.0053527982322863,1.0064999789566922,1.00777662994137,1.0031155443806816,1.0054768901003033,1.0020958444861814,0.9999467866820623,0,500,0.870884470080312,0.026,695.935310125351
30,0.9202062974245248,1.4444063,0.9125664,0.9591094,0.8113421201705933,3.1074132919311523,1,0.632652044914563,0.6086654,0.613649,0.041807827,0.5515199303627014,0.6745124459266663,1,-2.008355647123687,-1.2805498,-1.6027334,0.9733719,-2.430220127105713,0.30225804448127747,1,0.3423813541296849,0.32110626,0.34758866,0.051601812,0.23217718303203583,0.3616671562194824,1,2.4321269073899305,3.0580776,2.118436,2.3553905,0.42591914534568787,6.976642608642578,1,0.5415355760227764,0.4288075,0.37404066,0.2635146,0.06423411518335342,0.8148714900016785,1,0.13545499122009486,0.15811072,0.14772451,0.029590182,0.1226372942328453,0.20552080869674683,1,1.5920525400867331,1.506707051216196,1.582507142573693,1.5865574378806822,1.5922829620090406,1.5401928566314873,1.5506724021007448,0,500,0.5109224113332674,0.34,5409.321071147919
32,2.12802520014096,2.1607134,2.1552844,0.16629028,1.8239878416061401,2.4695851802825928,1,0.6142248002790551,0.611437,0.61177117,0.021997366,0.569614589214325,0.6550295948982239,1,-1.5074117897936017,-1.2998552,-1.2825185,0.22601222,-1.737320899963379,-0.875530481338501,1,0.30174806626233724,0.280851,0.2795173,0.016108237,0.25098150968551636,0.3128419816493988,1,1.9660175944644427,1.8668102,1.8579013,0.41032284,1.030735731124878,2.6414074897766113,1,1.53817119028625,0.7374681,0.7123251,0.40386268,0.025754056870937347,1.4684677124023438,0,0.034598684250545096,0.067084044,0.06101975,0.045029003,1.2105399491701974e-06,0.15006572008132935,1,1.001825237466263,1.001442313570625,1.0024294666018247,1.0003196760581081,1.0020523241720325,1.0014530650216744,1.0017528623955771,0,500,0.98168512960769,0.308,553.0229539871216
34,2.291487567808784,1.8941097,1.8967729,0.1603559,1.6143543720245361,2.1989076137542725,0,0.40100099474827466,0.4412137,0.44138145,0.018464264,0.40413835644721985,0.4763907194137573,0,0.6439844041171958,0.416813,0.40925527,0.12563485,0.17940963804721832,0.6578326225280762,1,0.23424713892978047,0.2496376,0.24821343,0.016275207,0.22178098559379578,0.28430816531181335,1,2.3768303734659666,1.2244653,1.2914834,0.52814806,0.08724677562713623,2.0696303844451904,0,0.9649398651394346,0.5953395,0.56241715,0.34692967,0.016313418745994568,1.2106115818023682,1,0.08738698006709486,0.05329167,0.047109965,0.03706092,5.632138709188439e-05,0.1247306689620018,1,1.0015964838340623,1.0026196722808145,1.0021182489524005,1.0008212089817232,1.0024289446843668,1.0006712581905564,1.0016273194663685,0,500,0.9445856414036102,0.57,749.7452712059021
36,1.6626187827738166,1.6750766,1.6633132,0.13540289,1.4378631114959717,1.950762391090393,1,0.6989495286643942,0.6579941,0.6583982,0.044151932,0.5735027194023132,0.7412728071212769,1,1.2906767653074223,1.433351,1.4177617,0.48981482,0.4631442725658417,2.300746440887451,1,0.18456973654571251,0.1761672,0.17660724,0.016547209,0.1456800252199173,0.20770946145057678,1,1.5731641448936355,1.494896,1.4993517,0.5075166,0.5044815540313721,2.506110191345215,1,1.0875605907796988,0.6091324,0.5942856,0.31374303,0.010599843226373196,1.140779972076416,1,0.12134982092614122,0.13390942,0.13389538,0.019420724,0.09561293572187424,0.17156054079532623,1,1.0013551425924974,1.0035800671241977,1.001853568996066,1.0031879203487124,1.0021926364860005,1.0016286316046215,1.0012863319655085,0,500,0.5585875975338581,0.846,523.7751092910767
38,0.9667773611086505,1.050188,1.0436833,0.06748025,0.930106520652771,1.188037395477295,1,0.33032274620737295,0.3226224,0.3179059,0.048375588,0.2370961755514145,0.4201517105102539,1,-2.7971979043099755,-3.0304146,-2.9599524,0.6398264,-4.237024307250977,-1.8425707817077637,1,0.31582994994598274,0.31619975,0.3163156,0.008469167,0.2996208667755127,0.3318658769130707,1,0.8943388649181554,1.2357022,1.2517958,0.5336673,0.09813936054706573,2.163336992263794,1,0.32388062856843763,0.30601954,0.28874707,0.18509898,0.003015631577000022,0.6504056453704834,1,0.14474465778817117,0.14487416,0.14496024,0.010379328,0.12542560696601868,0.16592097282409668,1,1.002765810728953,1.0078750011406867,1.0062883319045959,1.006100186896179,1.004665354810934,1.0009563885425419,1.0038108815491658,0,500,0.43084228772834876,0.036,537.5587739944458
