config_id,true_a,post_mean_a,post_median_a,post_std_a,hdi_lo_a,hdi_hi_a,coverage_a,true_z,post_mean_z,post_median_z,post_std_z,hdi_lo_z,hdi_hi_z,coverage_z,true_v,post_mean_v,post_median_v,post_std_v,hdi_lo_v,hdi_hi_v,coverage_v,true_t,post_mean_t,post_median_t,post_std_t,hdi_lo_t,hdi_hi_t,coverage_t,true_sv,post_mean_sv,post_median_sv,post_std_sv,hdi_lo_sv,hdi_hi_sv,coverage_sv,true_sa,post_mean_sa,post_median_sa,post_std_sa,hdi_lo_sa,hdi_hi_sa,coverage_sa,true_st,post_mean_st,post_median_st,post_std_st,hdi_lo_st,hdi_hi_st,coverage_st,rhat_a,ess_a,rhat_z,ess_z,rhat_v,ess_v,rhat_t,ess_t,rhat_sv,ess_sv,rhat_sa,ess_sa,rhat_st,ess_st,n_divergences,n_trials,mean_rt,accuracy,elapsed_seconds
10,1.2090505139887409,1.4638113109493731,1.4633014518736946,0.1207460707111677,1.2214895603273024,1.698853412372466,0,0.5759690769625814,0.570904734395506,0.5709314162985242,0.0203993753304,0.530519136907328,0.6104914515535581,1,-0.9806142583347826,-1.186313006523137,-1.173589810956378,0.2903594095642602,-1.7727389527574031,-0.6410016597692313,1,0.2605755045132077,0.248918312524231,0.2485699543892626,0.0077637029766414,0.2348428135734377,0.2649476169127307,1,2.482083943767354,3.7616734702969215,3.749196921690319,0.7182701290801095,2.473770642009609,5.314367383897203,1,0.8413606611720414,0.6734563244281474,0.6900277023305352,0.3070038360760081,0.0712091175435129,1.1723700889947382,1,0.0627405172739176,0.0389607661380991,0.0380185522772416,0.021897074186992,2.163381714543552e-05,0.0760012031564515,1,1.002391090131558,1289.3651174880963,1.0032768969187584,1933.342512791132,1.0018240690176767,1682.507015817316,1.0011593789771387,2436.962712598858,1.0022702192663495,1277.9079782378644,1.0011079342644928,1902.0112721142489,1.0005892897021709,1382.7666400968417,0,500,0.5417736790834349,0.4,3131.1480102539062
11,0.9045033137334164,0.8988641189585254,0.8944784090490192,0.0790818821257354,0.7535529658314568,1.0417419726644108,1,0.4936436999489766,0.5146470845712194,0.5151503442035394,0.0211711165090513,0.4748909249601557,0.557828115400213,1,-0.5853692428272792,-0.4389752876996542,-0.4228258390992284,0.2234001467306461,-0.9122277989569872,-0.0487401711685645,1,0.3186931434910099,0.3136525875076135,0.3133702024457618,0.0078917724687597,0.2984907996129016,0.3294098337991737,1,2.090000215604425,1.9341346318808452,1.9503542196849557,1.0937817618656125,0.0017853515920896,3.7263128990315,1,0.7417077019247355,0.3948342748846298,0.4011815495952678,0.1764349093120134,0.0450455091057361,0.6959483835522982,0,0.0929210146671779,0.0796146094935328,0.0802268630131798,0.0151536522014577,0.049678433234461,0.1083455198741374,1,1.004598885346872,930.5063381700752,1.0014947118323545,1676.7169160209191,1.00096836783093,1420.321588215364,1.0015558874890311,1480.244274855203,1.0057407050687397,883.7772889294914,1.0005102423062158,1655.3221849654412,1.001474162023172,1946.6020623994957,0,500,0.483291850808149,0.448,3539.445073604584
12,0.6979374690805993,0.6975099025697504,0.6950278096502912,0.0324117066679305,0.6379939291732558,0.7680676725551685,1,0.5542545661952432,0.5233735035539239,0.5232873634360939,0.0223315838697285,0.4822507893478447,0.5697991940789756,1,0.4393715930388842,0.4291192761063236,0.4248231241945416,0.216542319473757,0.0398358482701485,0.8902929245735559,1,0.4905398809458686,0.4856972805401636,0.4854273785376074,0.0056323797072141,0.4744488592864558,0.4966379651329993,1,1.7210837301014077,0.9546505030781384,0.8153277623976665,0.7175722170285884,0.0006422623913767,2.3570216097433523,1,0.0806983911156188,0.1891060977142627,0.1720623615142,0.112190498239457,0.0032382593835108,0.394320288514188,1,0.1053377752663434,0.0962977663360813,0.0958720271865719,0.0108937452480753,0.0749329620019274,0.1167228200803359,1,1.0027848313880543,1407.374110741525,1.0004765955665276,1762.502205503302,1.0014262344783342,1682.5556407244749,1.003811749570277,1885.797518093811,1.00180894339386,1500.9491546795484,1.000555401755655,2173.790991280361,1.0036144059261176,2110.2736515508277,0,500,0.6008426618544889,0.588,2173.732113599777
13,1.0326965337879792,0.9426802213006554,0.9364762333729028,0.0491067767630929,0.8544691443795096,1.0436502698417274,1,0.3538036354343887,0.2988174706725265,0.2972107397173918,0.0258139802274397,0.2498364208578431,0.3514169059460615,0,-0.6526052580109467,-0.2988202962158236,-0.2515968975687705,0.3140986941469242,-0.9396091076879236,0.2550438462413896,1,0.4133709065491825,0.4312529893891758,0.4307867744819288,0.0093721769719887,0.4125582553548279,0.4490183570270593,1,1.541883691400273,1.1180980434547172,1.0619406631044872,0.6729442108323136,0.0036415645307432,2.308501051450162,1,0.3503649473362198,0.2004925617198807,0.1825027991897559,0.1247471157188608,0.0002064650071366,0.4300446020693154,1,0.0941218647368555,0.1358636058466529,0.1349898196150499,0.0175139631451983,0.1019739791376537,0.1689527417391282,0,1.0015317119558045,1210.0413445623392,1.0034877601607926,1668.2140713318684,1.00283777384628,1278.702835821747,1.0024784246629077,1883.3202430559104,1.0009301388498326,1023.0516499798174,1.0013685761403817,2162.0392213640894,1.0017687929048702,2138.7577904915506,0,500,0.5962471424779952,0.282,2223.011561393738
14,0.8759604188014305,0.9218557876833344,0.9195127832207106,0.0343487403998952,0.8583481946166471,0.9898489365957558,1,0.6295190736143292,0.5870322484736787,0.5871202581718415,0.0271268083851253,0.5338551992496228,0.6409696914388527,1,1.2666227672813104,1.5487514143543302,1.5239449212394685,0.2331869082821445,1.121794337998764,2.0419238301151026,1,0.2781778834444954,0.26503423308001,0.2652242250244568,0.0068304277702865,0.2508797515813195,0.2774055351474399,0,0.6449813324382931,0.5416355971948837,0.4848221408736096,0.3764446675378791,0.000181245040855,1.244262609897155,1,0.6001072862941683,0.2210722032680894,0.1981784616544351,0.138476702106474,0.0056708775913207,0.4834550892056814,0,0.0916641004623291,0.0802646843704717,0.0808406574826616,0.0121309966391754,0.0558431869405241,0.10271248112607,1,1.0021153289527562,1644.019559258858,1.0060188173113722,1338.0636338266495,1.004742731745856,1364.0011533796776,1.0036198864506771,1519.439002481082,1.004647013050102,1023.7438109039108,1.0006249704084371,2150.1066252489086,1.0028027042642558,1996.113546132969,0,500,0.4282699738614315,0.848,1694.5130519866943
15,2.093654365375736,1.9223109552131716,1.9171585825224784,0.1692163254282756,1.59217637480601,2.2225194600025437,1,0.3199215239535419,0.3037948336150478,0.3031291230972919,0.0325639228866182,0.2422208343220665,0.3653033880501923,1,-0.8266709600488857,-0.6887046686033578,-0.6901709778222014,0.3738145960903916,-1.3397050353748208,0.0209194699320977,1,0.3241361118596714,0.3315861104030787,0.3305233121370173,0.0180255132594623,0.2988498734949661,0.3669896846435737,1,1.8259122337741185,1.4039048673027252,1.4477419444773634,0.5458729440129444,0.2052616189997264,2.3634012730539258,1,0.5473017543248055,0.67537781752475,0.6752836494408678,0.3465367736634291,0.0344046195873605,1.2578228133528415,1,0.0883397686746386,0.095310567339489,0.0955486101771239,0.0264248637227079,0.0437403017798391,0.1471606506062159,1,1.0016147944644445,805.5488478354159,1.0011746683314242,920.1660511723138,1.001684260075148,772.2333915161328,1.0019682328686077,878.5069319268824,1.0012048411897088,772.1879909527202,1.0015019696015446,1683.897316902199,1.0020835060403106,1470.224788411414,0,500,0.8688618202633336,0.242,2420.1561481952667
16,0.7238092565844599,0.717813972591418,0.7081279465840931,0.0434072129223323,0.6464426649259297,0.8075525036742179,1,0.6950434084273723,0.6571961741988938,0.6571519048504739,0.0209952996350144,0.617231520180684,0.6992886857896037,1,-1.334051222493943,-1.0635159289248108,-1.0586919315031154,0.2308751343035472,-1.5396823952361338,-0.618478339578434,1,0.2738507224450614,0.2659314530292634,0.2660277313709501,0.0042481989048938,0.2574077786362883,0.2737591271335806,0,2.6336211594502337,1.2952644504756512,1.1136342527671037,0.9511607009276464,0.0006513716124855,3.1345496722016786,1,0.5535742891732268,0.3406393122994502,0.3493253086672888,0.1298011190062595,0.0760696994621328,0.5698409235720899,1,0.067788383805727,0.0552814161799172,0.0554571974938265,0.0075173916631032,0.0408173901375291,0.0697322957183846,1,1.003809031815772,1114.481296500027,1.002304416908002,1680.9445880074368,1.0033352104440332,1762.7563454429264,1.0014795800468574,1460.7802287629663,1.0036158327891678,905.0898135278773,1.001646665268893,1579.0594701884686,1.0016535880551778,1913.31454876505,1,500,0.3791239614094322,0.488,2338.096749305725
17,1.0500717678197315,1.109465204669679,1.097882864358598,0.0741503183280043,0.9888728889772612,1.2565003580493788,1,0.381438083568243,0.3688585084681071,0.3687035687412184,0.0174415391604193,0.3340188236606481,0.4022987648601661,1,0.4713967206450249,0.5819520453710588,0.5807631380341097,0.1520702262160771,0.2882839185483851,0.8836228441059445,1,0.1541997614489185,0.1584947449775496,0.1582192542004969,0.0052710911555437,0.1485206663070324,0.1690937439137775,1,0.5313302754924634,1.3241170205974842,1.3514678128794526,0.7225463951280021,0.0321837250583706,2.5069254909263723,1,0.2290698020729934,0.3270420560669912,0.3186184605177352,0.1704460445863095,0.0176799159688207,0.6273660337485913,1,0.0312809153885619,0.0256606306078404,0.0247507135361746,0.0136024265481821,1.6917287631439565e-05,0.0492596471937383,1,1.001665875048675,1340.22668654911,1.0007434711405756,2067.50943667026,1.001860955015775,2017.0524183045227,1.0005839947967246,1910.0002608158916,1.0022712942958651,1191.6785326554798,1.00258649407822,2431.178858009579,1.0045310432557129,1764.8307305795815,0,500,0.4152035444752636,0.508,2540.4758064746857
18,1.1651508764610548,1.1550071265478177,1.1459885006691626,0.0556783461068795,1.0619106164115768,1.2764609448093676,1,0.4751841765927115,0.5119009083584847,0.5121629312620494,0.0185778515108912,0.476227005467506,0.5477275274176011,0,0.5488758869655519,0.3752266845200928,0.3690000772750612,0.133814172550154,0.1137486732267242,0.6330419907960269,1,0.3516300866349827,0.3481776705842757,0.347737385454718,0.0093452010246935,0.3308476264660645,0.3672309112759155,1,0.995220167414974,0.7154729255935488,0.6492412412515348,0.4925850600301093,0.0006116031342806,1.638435829031197,1,0.0821034009659858,0.259162817823907,0.2336216863031001,0.1661066697782497,0.0002287827419949,0.572735746392631,1,0.1199376796504402,0.0973381933057648,0.096009238068941,0.0221817567963102,0.0539606299127067,0.1401332605632768,1,1.0043369668569964,1491.365249623808,1.000568650622065,2195.0469935509623,1.00143820082069,1782.6379620473792,1.0012048520624892,2366.922868289449,1.0033507541337665,1222.273080086857,1.0014167118910084,2143.5186848426374,1.0007883670550086,2049.961164559549,0,500,0.6559901049706978,0.602,2064.9732909202576
19,1.8564539913890263,2.034071941976115,2.018137094571187,0.18231130831897,1.6846087161805745,2.395422851771234,1,0.458964685348714,0.4618100757695025,0.4627678758424722,0.0513525989210172,0.3623335008459913,0.5628122146711677,1,-2.903678370678193,-3.006288051850278,-2.9675347355936044,0.592423288610896,-4.236842373484709,-1.9198600845860967,1,0.35802867263736,0.3458223654080737,0.3449569270181105,0.0183356175260106,0.3114524029127598,0.3824011637991253,1,2.016710824851262,2.0175548926046982,1.9915703070990611,0.4220680786247855,1.2277447659412395,2.875814410635786,1,0.9886340926039386,0.6543968623086062,0.5945763043974124,0.4008749273673382,0.0143551090828961,1.3809596139245115,1,0.101820859036549,0.0665062149190347,0.0681507534517665,0.0328084420490261,0.0014756725347449,0.118811321121265,1,1.0056420420576888,900.5569802815265,1.0052671747536988,925.7294331670294,1.00534419732415,826.9499954677246,1.0049255213832056,901.4736355570894,1.005245741450656,925.82198096071,1.0023427716123343,1564.4119104378124,1.0017080294350196,1246.1783950288193,0,500,0.7491277730875283,0.082,2793.604714155197
